iT;t;p1(xAchse);p2(XAchse);p3(diagonal);p4(diagonal)
0;0;0;0;0;0
1;0.00078125;0;0;0;0
2;0.0015625;0;0;0;0
3;0.00234375;0;0;0;0
4;0.003125;0;0;0;0
5;0.00390625;0;0;0;0
6;0.004687500000000001;0;0;0;0
7;0.005468750000000001;0;0;0;0
8;0.00625;-4.542422781620796e-07;0;0;0
9;0.00703125;-2.739135500936148e-06;0;0;0
10;0.0078125;-7.51317687293825e-06;-5.64104993827641e-08;0;0
11;0.008593750000000001;-1.282216423229935e-05;-5.773290467914194e-08;0;0
12;0.009375000000000001;-1.662692557147238e-05;8.386001960995296e-07;0;0
13;0.01015625;-2.105405656038783e-05;3.159945966520657e-06;0;0
14;0.0109375;-3.132339831305823e-05;4.984286836891745e-06;0;0
15;0.01171875;-4.950998663844075e-05;3.446482878644019e-06;0;0
16;0.0125;-7.108237878128421e-05;-2.153178381073909e-06;0;0
17;0.01328125;-8.753530710237101e-05;-1.175247355907535e-05;0;0
18;0.0140625;-8.872537667533227e-05;-2.608921931823716e-05;0;0
19;0.01484375;-6.453983345030186e-05;-4.349569947711037e-05;0;0
20;0.015625;-1.133063415181823e-05;-5.818432813005833e-05;0;0
21;0.01640625;6.300038270031412e-05;-6.394527372322045e-05;0;0
22;0.0171875;0.0001422056399557429;-5.737486329356519e-05;0;0
23;0.01796875;0.0002085013026468611;-3.654615708607404e-05;0;0
24;0.01875;0.0002477399660468412;-4.718834437274684e-07;0;0
25;0.01953125;0.000251886660407763;4.66601971614485e-05;0;0
26;0.0203125;0.0002194913019290349;9.426613420752498e-05;0;0
27;0.02109375;0.000155047353473492;0.000131182433203018;0;0
28;0.021875;6.740594714453134e-05;0.0001500391311613688;0;0
29;0.02265625;-3.180972089467105e-05;0.0001474384941199484;0;0
30;0.0234375;-0.0001299514836622014;0.00012381570074164;0;0
31;0.02421875;-0.0002150287194429742;8.230200910475105e-05;0;0
32;0.025;-0.0002762336474309753;2.753218359430321e-05;0;0
33;0.02578125;-0.0003046966952145643;-3.363198326648368e-05;0;0
34;0.0265625;-0.0002944991532179604;-9.234558820025995e-05;0;0
35;0.02734375;-0.0002444514351130541;-0.0001397010231206271;0;0
36;0.028125;-0.0001609041064511985;-0.0001685208935668925;0;0
37;0.02890625;-5.615839472739026e-05;-0.0001750694270109913;-6.063298011819521e-13;0
38;0.0296875;5.599808719125576e-05;-0.0001590316999984983;-2.425319204727808e-12;0
39;0.03046875;0.0001610557058787284;-0.0001221144714994201;2.667851125200589e-11;0
40;0.03125;0.0002447229586929704;-6.887402984527095e-05;1.64921705921491e-10;0
41;0.03203125;0.0002962457050064889;-7.274386613668564e-06;3.504586250831683e-10;0
42;0.0328125;0.0003094443867060666;5.406786658568308e-05;5.760133111228546e-10;0
43;0.03359375;0.0002825207169128892;0.0001076658894210899;1.386069925501943e-09;3.637978807091713e-12
44;0.034375;0.0002188095653157992;0.0001466921166866086;1.913576852530241e-09;-6.063298011819522e-12
45;0.03515625;0.0001263411625889906;0.0001660369671299122;-3.366343056162199e-09;-6.427095892528693e-11
46;0.0359375;1.639526211268579e-05;0.0001637959406555941;-2.199703885708004e-08;-6.245196952174108e-11
47;0.03671875;-9.703763680590782e-05;0.0001406133196724113;-5.877518560737371e-08;1.624963867167632e-10
48;0.03750000000000001;-0.0001986667581756289;9.92760530304319e-05;-1.191189464104051e-07;5.44484161461393e-10
49;0.03828125;-0.0002748310938234984;4.510579674388282e-05;-2.087860290581981e-07;2.044544089585543e-09
50;0.0390625;-0.0003151051757110205;-1.489780758371732e-05;-3.177956386934966e-07;8.0629736961176e-09
51;0.03984375;-0.000313637452563853;-7.296025372246125e-05;-4.143269810204704e-07;2.180847028891246e-08
52;0.040625;-0.0002709571344894357;-0.000121649259502495;-4.726637901815896e-07;4.336834535934031e-08
53;0.04140625000000001;-0.000193189845958841;-0.0001553003955147384;-5.007113941246644e-07;7.221994261878233e-08
54;0.0421875;-9.046603978883165e-05;-0.0001693519995266494;-5.162692104931921e-07;1.073240127880126e-07
55;0.04296875;2.367564714707745e-05;-0.0001608176201746877;-5.040941080854585e-07;1.395007226771365e-07
56;0.04375;0.0001342769355687778;-0.0001309631406911649;-4.264693416189402e-07;1.534802625731876e-07
57;0.04453125;0.0002271857350327385;-8.461345532850828e-05;-2.620648350178574e-07;1.478450334010025e-07
58;0.04531250000000001;0.0002903645217884332;-2.771358109991221e-05;-7.211686655258139e-09;1.441185304429382e-07
59;0.04609375;0.0003156988871827101;3.298705147850948e-05;3.451920444301019e-07;1.655741167875628e-07
60;0.046875;0.0003002172525157221;9.009782903982948e-05;7.992457540240139e-07;2.13327439269051e-07
61;0.04765625;0.0002460021654163332;0.0001361879609855047;1.316486304858699e-06;2.7216689583535e-07
62;0.0484375;0.0001598729504621588;0.0001645620820151331;1.813038882877057e-06;3.324336527536313e-07
63;0.04921875000000001;5.28018196443251e-05;0.0001708112249616534;2.220270592564096e-06;3.852922721610715e-07
64;0.05;-6.122292931346844e-05;0.0001540944152414644;2.493930272369956e-06;3.975425594641517e-07
65;0.05078125;-0.0001670997589826584;0.0001170575487776659;2.550103090470657e-06;3.23495138824607e-07
66;0.0515625;-0.0002511796919861808;6.477488326102805e-05;2.257871528854594e-06;1.447624526917934e-07
67;0.05234375;-0.00030294223203479;4.001649358542636e-06;1.502151765938227e-06;-1.360058377031237e-07
68;0.05312500000000001;-0.0003155673020955874;-5.733043326472398e-05;2.460061902335535e-07;-5.233093058147157e-07
69;0.05390625;-0.0002870748891533973;-0.0001110979228542419;-1.432291658905645e-06;-9.873231950526435e-07
70;0.0546875;-0.000221170975540493;-0.0001501607500055494;-3.360430734270873e-06;-1.410813638358377e-06
71;0.05546875;-0.0001264572765649064;-0.0001696182819917643;-5.330736409329499e-06;-1.644197254790924e-06
72;0.05625;-1.531740963400807e-05;-0.0001672471553320065;-7.106155559692222e-06;-1.598512123261268e-06
73;0.05703125000000001;9.758377806671585e-05;-0.0001431449412242121;-8.3913388759053e-06;-1.270309439860284e-06
74;0.0578125;0.0001975314541292998;-0.0001001323180389591;-8.903586300827252e-06;-7.293201633729041e-07
